District,EAST,NORTH,Plot_names,Total_C_ha,Year,Zone,Mean_Temp_yr,Mean_D_R,Isothermality,Temp_Seasnoality,Max_Temp_Warmest_Month,Min_Temp_Coldest_Month,Temp_Range_yr,Mean_Temp_Wattest_Q,Mean_Temp_Driest_Q,Mean_Tem_Warmest_Q,Mean_Temp_Coldest_Q,Prec_yr,Prec_Wattest_Month,Prec_Driest_Month,Prec_Seasonality,Prec_Wattest_Q,Prec_Driest_Q,Prec_Warmest_Q,Prec_Coldest_Q
Katha,779998,2716001,N2716001E779998,170.5482484,2015,46,266,113,48,2500,379,145,234,269,230,296,230,1430,286,1,93,805,12,192,12
Katha,775999,2716001,N2716001E775999,110.7621398,2015,46,265,113,48,2483,379,145,234,268,230,295,230,1439,288,1,93,811,12,193,12
Khamti,740000,2712000,N2712000E740000,159.9288345,2014,46,264,114,48,2505,378,143,235,268,228,295,228,1406,277,1,92,785,12,192,12
Katha,772005,2712000,N2712000E772005,119.6063536,2015,46,264,113,48,2483,378,144,234,267,229,294,229,1390,273,1,92,773,12,191,12
Katha,788002,2712997,N2712997E788002,85.4901342,2015,46,265,113,48,2479,380,145,235,269,230,295,230,1391,275,1,93,777,12,189,12
Katha,755002,2716005,N2716005E755002,167.4447265,2015,46,265,113,48,2511,380,145,235,268,230,296,230,1418,283,1,92,796,12,191,12
Khamti,707000,2713000,N2713000E707000,141.590689,2014,46,266,114,48,2521,380,145,235,270,229,296,229,1361,267,1,92,754,12,187,12
Mawlaik,680000,2713000,N2713000E680000,571.5914858,2014,46,266,114,48,2515,381,146,235,270,230,297,230,1381,273,1,92,770,12,188,12
Khamti,716000,2713000,N2713000E716000,183.2734714,2014,46,266,113,47,2532,381,145,236,270,230,297,230,1355,266,1,92,751,12,186,12
Khamti,697983,2717996,N2717996E697983,64.48742603,2014,46,266,113,47,2543,381,145,236,269,230,297,230,1359,268,1,92,753,12,187,12
Katha,792003,2717995,N2717995E792003,157.158374,2015,46,266,113,47,2539,381,145,236,269,230,297,230,1370,271,1,92,762,12,187,12
Katha,791998,2726001,N2726001E791998,145.4246214,2015,46,266,113,48,2523,380,145,235,270,230,297,230,1397,279,1,93,782,12,188,12
Khamti,668000,2742000,N2742000E668000,76.04844581,2014,46,266,113,48,2473,379,146,233,270,231,296,231,1414,283,1,93,792,12,191,12
Khamti,674000,2743000,N2743000E674000,124.2765743,2014,46,266,113,48,2514,380,145,235,270,230,296,230,1362,270,1,92,753,12,189,12
